Setting Name,Address,Total Confirmed Staff,Total Confirmed Non-Staff
Mercury Air Cargo Building 213,"6040 Avion Dr, Los Angeles, CA, 90045",47,0
Mercury Air Cargo Building 216,"6041 W Imperial Hwy, Los Angeles, CA, 90045",45,0
Metro Division 13,"920 N Vignes St, Los Angeles, CA, 90012",33,0
Metro Division 18,"450 W Griffith St, Gardena, CA, 90248",25,0
Metropolitan Courthouse,"1945 S Hill St, Los Angeles, CA, 90007",16,0
Michael Kors Distribution Center,"3777 Workman Mill Rd, Whittier, CA, 90601",88,0
Michaels Arts and Craft Store - Burbank,"1551 N Victory Pl, Burbank, CA, 91502",11,0
Michaels Distribution Center,"3501 W Avenue H, Lancaster, CA, 93536",12,0
"Micronova Manufacturing, Inc.","3431 Lomita Blvd, Torrance, CA, 90505",6,0
Miracle Works,"730 Los Angeles Ave, Monrovia, CA, 91016",5,0
Mission Foods Corp.,"5505 E Olympic Blvd, Commerce, CA, 90022",111,0
"Mission Foods, Panorama","14200 Arminta St, Panorama City, CA, 91402",25,0
Mistras,"8427 Atlantic Ave, Cudahy, CA, 90201",32,0
"Mola, Inc.","3226 E 44th St, Vernon, CA, 90058",19,0
Morley Construction Company,"5500 W 98th St, Los Angeles, CA, 90045",65,0
Morton Manufacturing,"201 E Avenue K15, Lancaster, CA, 93535",25,0
Moss & Company Property Management - Zelzah Court Apartments,"9810 Zelzah Ave, Northridge, CA, 91325",4,0
Motor Car Parts of America,"2929 California St, Torrance, CA, 90503",41,0
MV Transportation #183,"21222 S Wilmington Ave, Carson, CA, 90810",6,0
National Notary Association,"9350 De Soto Ave, Chatsworth, CA, 91311",22,0
National Rent A Car (Enterprise),"9020 Aviation Blvd, Inglewood, CA, 90301",19,0
National Wire & Cable Corp.,"136 N San Fernando Rd, Los Angeles, CA, 90031",10,0
Nature's Produce,"3305 Bandini Blvd, Vernon, CA, 90058",12,0
NBC Universal - Mr. Mayer Production,"100 Universal City Plz, Bldg 5225, Universal City, CA, 91608",12,0
NBC Universal Stage 1,"3900 Lankershim Boulevard, Stage 1, Building 2230, Studio City, CA, 91604",7,0
Neiman Marcus-Beverly Hills,"9700 Wilshire Blvd, Beverly Hills, CA, 90212",13,0
Netflix Productions,"18421 S Main St, Gardena, CA, 90248",9,0
New Century Plaza - South Tower,"2025 Avenue of The Stars, Los Angeles, CA, 90067",13,0
New Hampshire Ball Bearings,"9700 Independence Ave, Chatsworth, CA, 91311",35,0
New Vac,"9330 De Soto Ave, Chatsworth, CA, 91311",26,0
Nippon Express,"300 Westmont Dr, San Pedro, CA, 90731",14,0
Nissan of West Covina,"205 N Citrus St, West Covina, CA, 91791",11,0
"Nordstrom, Los Cerritos Center","300 Los Cerritos Mall, Cerritos, CA, 90703",29,0
"Nordstrom, Topanga Plaza","21725 Victory Blvd, Canoga Park, CA, 91303",13,0
Northridge Mills,"1901 1st St, San Fernando, CA, 91340",12,0
Northrop Grumman - Azusa,"1111 W 3rd St, Azusa, CA, 91702",38,0
Northrop Grumman - Palmdale,"3520 E Avenue M, Palmdale, CA, 93550",459,0
Novacap LLC,"25111 Anza Dr, Valencia, CA, 91355",33,0
Novolex Zenith Bag,"17625 Railroad St, City of Industry, CA, 91748",18,0
"Nowhere Calabasas, LLC Dba. Erewhon Market","26767 Agoura Rd, Calabasas, CA, 91302",14,0
"Ontic Engineering and Manufacturing, Inc.","20400 Plummer St, Chatsworth, CA, 91311",31,0
OnTrac Shipping - Commerce,"5959 Randolph St, Commerce, CA, 90040",61,0
OnTrac Shipping Delivery Services,"11051 Pendleton St, Sun Valley, CA, 91352",19,0
Pactiv,"12500 Slauson Ave, Santa Fe Springs, CA, 90670",35,0
Pals Eindelijk El Monte (Pals Inc),"11645 Mcbean Dr, El Monte, CA, 91732",5,0
Panda Express #2521,"8315 Laurel Canyon Blvd, Sun Valley, CA, 91352",5,0
Pankow Construction #2,"8899 Beverly Blvd, West Hollywood, CA, 90048",85,0
Paramount Exclusive Insurance,"15760 Ventura Blvd, Encino, CA, 91436",7,0
Parkhouse Tires,"5960 Shull St, Bell Gardens, CA, 90201",51,0
PB Fasteners,"1700 W 132nd St, Gardena, CA, 90249",27,0
Penske Chevrolet of Cerritos,"18605 Studebaker Rd, Cerritos, CA, 90703",24,0
Performance Ford,"2000 E Garvey Ave S, West Covina, CA, 91791",13,0
Performance Team LLC,"12816 Shoemaker Ave, Santa Fe Springs, CA, 90670",15,0
"Pinto Express, Inc.","1001 W Walnut St, Compton, CA, 90220",7,0
Pomona Police Department,"490 W Mission Blvd, Pomona, CA, 91766",25,0
Popcornopolis LLC,"3200 E Slauson Ave, Vernon, CA, 90058",30,0
"PRC Restoration, Inc.","23839 Banning Blvd, Carson, CA, 90745",14,0
"Pro Packing, Inc.","100 Broad Ave, Wilmington, CA, 90744",4,0
"Project Site, NFL Media Center","900 District Dr, Inglewood, CA, 90301",41,0
Puritan Bakery,"1624 E Carson St, Carson, CA, 90745",28,0
Quality Custom Distribution,"14317 Lomitas Ave, La Puente, CA, 91746",49,0
R Planet Earth,"5300 S Boyle Ave, Vernon, CA, 90058",22,0
R3 Los Angeles,"15959 Piuma Ave, Cerritos, CA, 90703",6,0
"Rancho Foods, Inc.","2528 E 37th St, Vernon, CA, 90058",38,0
"RC Furniture, Inc.","1111 Jellick Ave, City of Industry, CA, 91748",27,0
"Remo, Inc.","28101 Industry Dr, Valencia, CA, 91355",21,0
Revolve,"12889 Moore St, Cerritos, CA, 90703",28,0
Reyes Coca-Cola Bottling,"1334 S Central Ave, Los Angeles, CA, 90021",24,0
Reynaldo's Mexican Food Co.,"3301 E Vernon Ave, Vernon, CA, 90058",11,0
Rich Products Corp. Torrance,"22417 S Vermont Ave, Torrance, CA, 90502",22,0
"Riedon, Inc.","300 Cypress Ave, Alhambra, CA, 91801",17,0
"Ritz Flooring, Inc.","14909 Calvert St, Van Nuys, CA, 91411",3,0
Robert F. Chapman (Metal Fabrication),"43100 Exchange Pl, Lancaster, CA, 93535",33,0
Robinson Helicopter Company,"2901 Airport Dr, Torrance, CA, 90505",12,0
"Rose & Shore, Inc.","5151 Alcoa Ave, Vernon, CA, 90058",23,0
Rose Hills Memorial Park and Mortuary,"3888 Workman Mill Rd, Whittier, CA, 90601",9,0
Ross Bindery,"15310 Spring Ave, Santa Fe Springs, CA, 90670",14,0
Royal Truck Body,"24200 Main St, Carson, CA, 90745",13,0
RTC Aerospace,"20409 Prairie St, Chatsworth, CA, 91311",47,0
Rudolph & Sletten,"3525 W 8th St, Los Angeles, CA, 90005",15,0
Russel Westbrook Car Dealership,"6110 Van Nuys Blvd, Van Nuys, CA, 91401",17,0
Sam's Club #26,"4901 Santa Anita Ave, El Monte, CA, 91731",32,0
Santa Monica Public Safety Facility,"333 Olympic Dr, Santa Monica, CA, 90401",14,0
Saunders Midwest NUPLA LLC,"11912 Sheldon St, Sun Valley, CA, 91352",27,0
"Schrey & Sons Mold Co., Inc.","24735 Rockefeller Ave, Valencia, CA, 91355",3,0
Seafood City,"1525 E Amar Rd, West Covina, CA, 91792",11,0
Seafood City Supermarket,"134 S Vermont Ave # 140, Los Angeles, CA, 90004",8,0
See's Candies (La Cienega Manufacturing),"3243 S La Cienega Blvd, Los Angeles, CA, 90016",14,0
See's Candies Carson,"20600 S Alameda St, Carson, CA, 90810",27,0
Senior Aerospace SSP,"2980 N San Fernando Blvd, Burbank, CA, 91504",77,0
"Shine Food, Inc.","19216 Normandie Ave, Torrance, CA, 90502",10,0
"Signal Products, Inc.","4270 S Maywood Ave, Vernon, CA, 90058",3,0
Simplify Optics,"24844 Avenue Rockefeller, Valencia, CA, 91355",16,0
Smithfield,"3049 E Vernon Ave, Vernon, CA, 90058",698,0
Smurfit Kappa North America,"440 Baldwin Park Blvd, City of Industry, CA, 91746",22,0
Snak King,"16150 Stephens St, City of Industry, CA, 91745",25,0
Snap on Specialty Tools,"19220 San Jose Ave, City of Industry, CA, 91748",29,0
Southland Box Company,"4201 Fruitland Ave, Vernon, CA, 90058",12,0
Space Corporation,"1 Rocket Rd, Hawthorne, CA, 90250",3,0
Spears Manufacturing Company,"15853 Olden St, Sylmar, CA, 91342",40,0
Sprouts Farmers Market #236,"1011 N San Fernando Blvd, Burbank, CA, 91504",13,0
Sprouts Farmers Market #272,"6607 Fallbrook Ave, West Hills, CA, 91307",16,0
Sprouts Farmers Market #285,"915 N La Brea Ave, West Hollywood, CA, 90038",12,0
Sprouts Farmers Market #411,"8985 Venice Blvd, Los Angeles, CA, 90034",9,0
Sprouts Farmers Market #418,"1375 Foothill Blvd, La Verne, CA, 91750",5,0
"Square-H Brands, Inc.","2731 S Soto St, Vernon, CA, 90058",20,0
St. Peter Chanel Parish,"12001 214th St, Hawaiian Gardens, CA, 90716",10,0
Staples #1499 Koreatown,"3223 W 6th St, Los Angeles, CA, 90020",5,0
Star Nail / Cuccio,"29120 Avenue Paine, Valencia, CA, 91355",33,0
Starbucks Mission Hills,"11109 Sepulveda Blvd, Mission Hills, CA, 91345",5,0
Stonefire Grill #2,"6405 Fallbrook Ave, West Hills, CA, 91307",17,0
Subway,"4954 Van Nuys Blvd, 107, Sherman Oaks, CA, 91403",3,0
Sugar Foods,"9500 El Dorado Ave, Sun Valley, CA, 91352",8,0
Sunrider,"1461 Francisco St, Torrance, CA, 90501",23,0
Superior Court of California - Stanley Mosk Courthouse,"111 N Hill St, Los Angeles, CA, 90012",61,0
Superior Grocers #114,"151 S Hacienda Blvd, City of Industry, CA, 91745",9,0
"Superior Lithographics, Inc.","3055 Bandini Blvd, Vernon, CA, 90058",19,0
Synedgen,"1420 N Claremont Blvd, Claremont, CA, 91711",3,0
Tamarack Studios,"8615 Tamarack Ave, Sun Valley, CA, 91352",17,0
Target #184,"2120 W Main St, Alhambra, CA, 91801",56,0
Target #189,"5600 Whittier Blvd, Commerce, CA, 90022",23,0
Target #190,"5700 Firestone Blvd, South Gate, CA, 90280",20,0
Target #290,"2169 W Redondo Beach Blvd, Gardena, CA, 90247",13,0
Target #299,"8840 Corbin Ave, Northridge, CA, 91324",30,0
Target #1033,"3100 Baldwin Park Blvd, Baldwin Park, CA, 91706",17,0
Target #1306,"3535 S La Cienega Blvd, Los Angeles, CA, 90016",61,0
Target #1307,"5711 Sepulveda Blvd, Van Nuys, CA, 91411",38,0
Target #1309,"14920 Raymer St, Van Nuys, CA, 91405",47,0
Target #1329,"3471 W Century Blvd, Inglewood, CA, 90303",45,0
Target #1408,"2626 Colorado Blvd, Los Angeles, CA, 90041",28,0
Target #1411,"3600 Rosemead Blvd, Rosemead, CA, 91770",50,0
Target #1424,"12051 Imperial Hwy, Norwalk, CA, 90650",32,0
Target #1884,"7100 Santa Monica Blvd, West Hollywood, CA, 90046",46,0
Target #2143,"6700 Topanga Canyon Blvd, Canoga Park, CA, 91303",14,0
Target #2319,"950 E 33rd St, Signal Hill, CA, 90755",30,0
Target #2776,"735 S Figueroa St, Los Angeles, CA, 90017",22,0
Taslimi Construction-Spotify,"555 Mateo St, Los Angeles, CA, 90013",17,0
Techmer PM,"18420 S Laurel Park Rd, Rancho Dominguez, CA, 90220",33,0
Tempur-Sealy Mattress Company,"825 Ajax Ave, City of Industry, CA, 91748",21,0
"TFC Manufacturing, Inc.","4001 Watson Plaza Dr, Lakewood, CA, 90712",18,0
The American Bottling Company,"3220 E 26th St, Vernon, CA, 90058",10,0
The Austin Company-Aerojet Rocketdyne,"8900 De Soto Ave, Canoga Park, CA, 91304",11,0
The Gill Corporation,"4056 Easy St, Building 1, El Monte, CA, 91731",16,0
The Habit Burger Grill - Chatsworth,"9243 Winnetka Ave, Chatsworth, CA, 91311",5,0
The Habit Burger Grill - Echo Park,"2134 W Sunset Blvd, A, Los Angeles, CA, 90026",5,0
The Habit Burger Grill - South Gate,"4791 Firestone Blvd, South Gate, CA, 90280",4,0
"The Huntington Library, Art Museum, and Botanical Gardens","1151 Oxford Rd, San Marino, CA, 91108",10,0
"Thibiant International, Inc.","20320 Prairie St, Chatsworth, CA, 91311",79,0
Time Tec Watch Service Center,"635 S Hill St, #209, Los Angeles, CA, 90014",5,0
TK Services,"6118 Alcoa Ave, Vernon, CA, 90058",7,0
"Toyota of Downey, Penske","9136 Firestone Blvd, Downey, CA, 90241",22,0
"Toyota, Frontier","23621 Creekside Rd, Valencia, CA, 91355",14,0
Trader Joe's Granada Hills,"11114 Balboa Blvd, Granada Hills, CA, 91344",5,0
Trader Joe's Los Angeles - Olympic Blvd,"11755 W Olympic Blvd, Los Angeles, CA, 90064",21,0
Trader Joe's North Hollywood,"6130 Laurel Canyon Blvd, North Hollywood, CA, 91606",23,0
Trader Joe's Studio City,"11976 Ventura Blvd, Studio City, CA, 91604",13,0
Transdev-Foothill Transit,"5640 Peck Rd, Arcadia, CA, 91006",46,0
U-Haul Moving & Storage #713026,"17959 E Valley Blvd, City of Industry, CA, 91744",10,0
UCLA Research Support Unit,"221 Westwood Plaza, Los Angeles, CA, 90095",11,0
Universal Warehouse Company,"2850 E Del Amo Blvd, Carson, CA, 90745",14,0
UPS - Bell,"4700 Eastern Ave, Bell, CA, 90201",12,0
"UPS - Boyle Trailer Shop, Vernon","4925 S Boyle Ave, Vernon, CA, 90058",4,0
UPS - Cerritos,"13233 Moore St, Cerritos, CA, 90703",62,0
UPS - Compton,"1430 N Mckinley Ave, Los Angeles, CA, 90059",14,0
UPS - La Mirada,"16301 Trojan Way, La Mirada, CA, 90638",17,0
UPS - Olympic Hub,"1201 W Olympic Blvd, Los Angeles, CA, 90015",35,0
US Airforce Plant 42 Fire Station,"2501 E Avenue S, Palmdale, CA, 93550",8,0
USPS - Carson Annex,"24760 Main St, Carson, CA, 90745",14,0
VACCO Industries,"10350 Vacco St, South El Monte, CA, 91733",47,0
Vallarta Supermarket #08,"9136 Sepulveda Blvd, North Hills, CA, 91343",4,0
Vallarta Supermarket #24 Winnetka,"19725 Vanowen St, Winnetka, CA, 91306",10,0
Vallarta Supermarket #25,"3425 Whittier Blvd, Los Angeles, CA, 90023",12,0
Vallarta Supermarket #26,"9011 Woodman Ave, Arleta, CA, 91331",8,0
Vallarta Supermarkets Corporate Office,"10147 San Fernando Rd, Pacoima, CA, 91331",22,0
Valley Thrift Store - Azusa,"777 W Foothill Blvd, Azusa, CA, 91702",6,0
Value Valley Center,"13630 Victory Blvd, Van Nuys, CA, 91401",29,0
Vance & Hines,"13861 Rosecrans Ave, Santa Fe Springs, CA, 90670",5,0
Vans Distribution Center,"15700 Shoemaker Ave, Santa Fe Springs, CA, 90670",28,0
Vege-Kurl,"412 W Cypress St, Glendale, CA, 91204",16,0
Veggie Grill - Toluca Lake,"4300 W Riverside Dr, Burbank, CA, 91505",9,0
Velvet LLC,"3961 Landmark St, Culver City, CA, 90232",16,0
"Vernon Sales, Inc.","2788 E Vernon Ave, Vernon, CA, 90058",10,0
Vista Sotheby's International Realty,"16 Malaga Cove Plz, Palos Verdes Estates, CA, 90274",4,0
Vons West Hollywood,"8969 Santa Monica Blvd, West Hollywood, CA, 90069",22,0
Voyant Beauty,"9250 Mason Ave, Chatsworth, CA, 91311",15,0
Waste Management - Azusa Transfer Station and Recycling Center,"1501 W Gladstone St, Azusa, CA, 91702",7,0
Wells Fargo Bank - El Monte,"9000 Flair Dr, El Monte, CA, 91731",31,0
Westlake Financial Services,"29851 Agoura Rd, Agoura Hills, CA, 91301",4,0
"Whole Foods Market, 23rd & Wilshire Blvd","2201 Wilshire Blvd, Santa Monica, CA, 90403",29,0
"Whole Foods Market, Burbank","3401 W Olive Ave, Burbank, CA, 91505",13,0
"Whole Foods Market, Downtown LA","788 S Grand Ave, Los Angeles, CA, 90017",19,0
"Whole Foods Market, Glendale","331 N Glendale Ave, Glendale, CA, 91206",12,0
"Whole Foods Market, Porter Ranch","20209 Rinaldi St, Porter Ranch, CA, 91326",11,0
"Whole Foods Market, Sherman Oaks","14311 Ventura Blvd, Sherman Oaks, CA, 91423",28,0
"Whole Foods Market, West Hollywood","7871 Santa Monica Blvd, West Hollywood, CA, 90046",11,0
"Whole Foods Market, Westwood","1050 Gayley Ave, Los Angeles, CA, 90024",12,0
"Whole Foods Market, Woodland Hills","21347 Ventura Blvd, Woodland Hills, CA, 91364",14,0
"Wismettac Asian Foods, Inc.","13409 Orden Dr, Santa Fe Springs, CA, 90670",18,0
"Wood Ranch BBQ and Grill, Northridge Fashion Center","9301 Tampa Ave, Northridge, CA, 91324",12,0
Woodpecker Cabinets,"21512 Nordhoff St, Chatsworth, CA, 91311",5,0
"Woodward HRT, Inc.","25200 Rye Canyon Rd, Santa Clarita, CA, 91355",63,0
World Oil Corp.,"9302 Garfield Ave, South Gate, CA, 90280",10,0
"World Variety Produce, Inc.","5325 S Soto St, Vernon, CA, 90058",20,0
XPO Logistics Santa Fe Springs,"12903 Lakeland Rd, Santa Fe Springs, CA, 90670",12,0
Yummy Foods Sunset,"3607 W Sunset Blvd, Los Angeles, CA, 90026",10,0
Zara,"3306 Glendale Galleria, Glendale, CA, 91210",3,0
